evaluation,subset,model,rmse,mae,r2,pearson,spearman
lodo_macro,exactly_one_unseen,xgboost_chemical_only_clip_train,6.0627786525085146,4.257336899298922,-0.03363672724247756,0.13424521678110174,0.14369500899128015
lodo_macro,exactly_one_unseen,xgboost_identity,6.062455772721979,4.231170525005601,-0.03039115431292766,0.15949785203641936,0.1430592757036569
lodo_macro,exactly_one_unseen,xgboost_identity_clip_train,6.062314220773728,4.231189375700305,-0.030351972664552262,0.1598341696380027,0.1440947448750967
random,all,mean,6.196590849521941,4.180537660507121,-9.48546139145634e-06,,
random,all,median,6.196579787877267,4.1805458776393625,-5.915195097072612e-06,,
random,all,ridge_chemical_cell,5.7400997405016065,3.984436758002806,0.1419010820177271,0.37670168068138077,0.32100485839495435
random,all,ridge_chemical_cell_clip_train,5.740177375597923,3.9844958104411896,0.14187787021108,0.37667100244020696,0.3209808422922374
random,all,ridge_identity,5.857489934926202,4.032672091981544,0.10644440445957526,0.326266821236659,0.2926807232041656
random,all,ridge_identity_clip_train,5.857504613857456,4.032672698176482,0.1064399259345622,0.32626038300417864,0.2926871285021558
random,all,xgboost_cell_only_clip_train,6.164148659743925,4.1619426926586005,0.010434183357922344,0.11009295248530998,0.10542137806834352
random,all,xgboost_chemical_cell,5.614127199097793,3.8876589806956736,0.17915156757197315,0.44565823015678574,0.3275799755970012
random,all,xgboost_chemical_cell_clip_train,5.6172945462824915,3.8877890959120602,0.17822510285849114,0.44506739233639436,0.32728069004748195
random,all,xgboost_chemical_only_clip_train,5.562447623721074,3.86383257746667,0.19419427965739933,0.46053437064451896,0.33276777620120884
random,all,xgboost_identity,5.7950394271686765,3.995966375872499,0.12539638738600012,0.4048357556590533,0.2759589178064607
random,all,xgboost_identity_clip_train,5.791908218992138,3.994581198714999,0.12634127349378155,0.40595256291786186,0.2767356707778102
random,central_abs_le_100,mean,6.196590849521941,4.180537660507121,-9.48546139145634e-06,,
random,central_abs_le_100,median,6.196579787877267,4.1805458776393625,-5.915195097072612e-06,,
random,central_abs_le_100,ridge_chemical_cell,5.7400997405016065,3.984436758002806,0.1419010820177271,0.37670168068138077,0.32100485839495435
random,central_abs_le_100,ridge_chemical_cell_clip_train,5.740177375597923,3.9844958104411896,0.14187787021108,0.37667100244020696,0.3209808422922374
random,central_abs_le_100,ridge_identity,5.857489934926202,4.032672091981544,0.10644440445957526,0.326266821236659,0.2926807232041656
random,central_abs_le_100,ridge_identity_clip_train,5.857504613857456,4.032672698176482,0.1064399259345622,0.32626038300417864,0.2926871285021558
random,central_abs_le_100,xgboost_cell_only_clip_train,6.164148659743925,4.1619426926586005,0.010434183357922344,0.11009295248530998,0.10542137806834352
random,central_abs_le_100,xgboost_chemical_cell,5.614127199097793,3.8876589806956736,0.17915156757197315,0.44565823015678574,0.3275799755970012
random,central_abs_le_100,xgboost_chemical_cell_clip_train,5.6172945462824915,3.8877890959120602,0.17822510285849114,0.44506739233639436,0.32728069004748195
random,central_abs_le_100,xgboost_chemical_only_clip_train,5.562447623721074,3.86383257746667,0.19419427965739933,0.46053437064451896,0.33276777620120884
random,central_abs_le_100,xgboost_identity,5.7950394271686765,3.995966375872499,0.12539638738600012,0.4048357556590533,0.2759589178064607
random,central_abs_le_100,xgboost_identity_clip_train,5.791908218992138,3.994581198714999,0.12634127349378155,0.40595256291786186,0.2767356707778102
